qtconsole,https://pypi.python.org/pypi/qtconsole/4.3.0,Interactive,Interpreter,Shell
s3transfer,https://pypi.python.org/pypi/s3transfer/0.1.10,Apache License 2.0
pytz,https://pypi.python.org/pypi/pytz/2017.2,
six,https://pypi.python.org/pypi/six/1.10.0,
simplegeneric,https://pypi.python.org/pypi/simplegeneric/0.8.1,ZPL 2.1
responses,https://pypi.python.org/pypi/responses/0.8.1,Apache 2.0
spark-sklearn,https://pypi.python.org/pypi/spark-sklearn/0.2.2,spark
scipy,https://pypi.python.org/pypi/scipy/0.19.1,
SQLAlchemy,https://pypi.python.org/pypi/SQLAlchemy/1.1.12,MIT License
timeitd,https://pypi.python.org/pypi/timeitd/1.0,MIT
terminado,https://pypi.python.org/pypi/terminado/0.6,Programming Language :: Python :: 3
testpath,https://pypi.python.org/pypi/testpath/0.3.1,
scikit-learn,https://pypi.python.org/pypi/scikit-learn/0.18.2,
requests,https://pypi.python.org/pypi/requests/2.18.3,Apache 2.0
sklearn,https://pypi.python.org/pypi/sklearn/0.0,all
psutil,https://pypi.python.org/pypi/psutil/5.4.3,ps,top,kill,free,lsof,netstat,nice,tty,ionice,uptime,taskmgr,process,df,iotop,iostat,ifconfig,taskset,who,pidof,pmap,smem,pstree,monitoring,ulimit,prlimit,smem
traitlets,https://pypi.python.org/pypi/traitlets/4.3.2,Interactive,Interpreter,Shell,Web
webencodings,https://pypi.python.org/pypi/webencodings/0.5.1,
redis,https://pypi.python.org/pypi/redis/2.10.6,Redis,key-value store
Werkzeug,https://pypi.python.org/pypi/Werkzeug/0.12.2,BSD
wrapt,https://pypi.python.org/pypi/wrapt/1.10.11,
wcwidth,https://pypi.python.org/pypi/wcwidth/0.1.7,terminal,emulator,wcwidth,wcswidth,cjk,combining,xterm,console
xlrd,https://pypi.python.org/pypi/xlrd/1.0.0,xls,excel,spreadsheet,workbook
tornado,https://pypi.python.org/pypi/tornado/4.5.1,http://www.apache.org/licenses/LICENSE-2.0
widgetsnbextension,https://pypi.python.org/pypi/widgetsnbextension/2.0.0,Interactive,Interpreter,Shell,Web
tzlocal,https://pypi.python.org/pypi/tzlocal/1.4,timezone pytz
urllib3,https://pypi.python.org/pypi/urllib3/1.22,urllib httplib threadsafe filepost http https ssl pooling
